"id","body","created_at",""
"52725105","$NVAX $IBB stabilizing past few weeks and $GILD performing well lately. Could things be turning around??? Let&#39;s hope.","2016-04-12T13:54:18Z","GILD"
"52724995","$ibb breaking down, $gild is next","2016-04-12T13:53:28Z","GILD"
"52716646","$GILD repeat","2016-04-12T11:50:36Z","GILD"
"52716608","$GILD did you buy yesterday ?","2016-04-12T11:49:30Z","GILD"
"52716527","$GILD post yesterday before the close ! Should have great profit again today ! Trading volatility holding core  before earnings","2016-04-12T11:47:12Z","GILD"
"52716449","$GILD earnings 12 trading days away ! We shall not be disappointed ! Did you see the blocks after 4 pm last night ?  Futures up! Buy before","2016-04-12T11:44:46Z","GILD"
"52714577","Cheap call option upside: $DAL calls cheaper than 100% of history, $GILD 99%, $PG 99%, $CRM 97%, $CSCO 95%, $HD 94%, $BABA 93%","2016-04-12T10:15:57Z","GILD"
"52709654","@BigPapa1 $GILD HIV drug was 3 days early last week. But usually day listed.","2016-04-12T03:18:50Z","GILD"
"52708274","Cheap put options and hedges: $DAL puts cheaper than 92% of history, $T 90%, $GILD 88%, $SLV 86%, $GE 84%, $CRM 82%, $AAPL 78%","2016-04-12T02:20:20Z","GILD"
"52708126","$GILD BULLISH","2016-04-12T02:14:56Z","GILD"
"52707301","$GILD puked with the market...","2016-04-12T01:46:14Z","GILD"
"52706020","$ICPT $GILD Patience","2016-04-12T01:03:26Z","GILD"
"52701546","$GILD 1.8% is a dream dividend?","2016-04-11T22:57:18Z","GILD"
"52700893","$GILD what happened today??","2016-04-11T22:36:05Z","GILD"
"52699802","$GILD Gilead Sciences Rebounds ($MRK too) -- http://stkw.it/a6fo","2016-04-11T22:04:16Z","GILD"
"52697079","$GILD ticks the boxes as a dream  dividend  stock with 1.8% yield http://stkw.it/g72c","2016-04-11T21:08:53Z","GILD"
"52697063","$GILD bullish sentiment around 92%, hmmm.   Looking for lower prices next few days","2016-04-11T21:08:41Z","GILD"
"52693744","$GILD this is the stock market...nothing rational here.   BTW, the entire sector took a dip right around 3:00pm .","2016-04-11T20:21:49Z","GILD"
"52692584","$GILD Can anyone who&#39;s RATIONAL explain to me why the massive dumping happened towards closing?","2016-04-11T20:08:43Z","GILD"
"52691550","$GILD buying Lot here","2016-04-11T20:00:13Z","GILD"
"52691525","$GILD May 90 strike c&#39;s at close","2016-04-11T20:00:00Z","GILD"
"52691387","$GILD buying here on close","2016-04-11T19:58:35Z","GILD"
"52691173","$GILD getting bought with some volume on weakness- looks good into ER","2016-04-11T19:56:34Z","GILD"
"52689835","$GILD Dip away, GILD...needed a few more long calls, anyway.","2016-04-11T19:43:54Z","GILD"
"52685039","$GILD Trading above it&#39;s 20 &amp; 50 day MA with ease, I know it&#39;s a long shot but I&#39;m expecting it to breach it&#39;s 200 day MA of $101.21 soon","2016-04-11T18:55:44Z","GILD"
