"id","body","created_at",""
"53198410","$GILD as I predicted","2016-04-19T14:45:41Z","GILD"
"53197727","$MNKD $BIB $AGN $CELG $GILD","2016-04-19T14:40:30Z","GILD"
"53197081","$GILD outperformance vs group outstanding! Should see 101 then 105 then 111 the 109 area was tough last year ! Everything working for us now","2016-04-19T14:35:47Z","GILD"
"53196488","$AAPL $GILD Nice to see AAPL&#39;s little brother GILD get some love finally!!!","2016-04-19T14:31:19Z","GILD"
"53195705","$GILD Gilead Retains Hep-C Market Dominance – EASL Data - http://stkw.it/u7cz","2016-04-19T14:25:28Z","GILD"
"53194562","$GILD Is this because of the upcoming earnings?","2016-04-19T14:17:27Z","GILD"
"53193561","$GILD $120 after earnings...","2016-04-19T14:10:18Z","GILD"
"53193194","$GILD H&amp;H  Bullish daily and weekly charts. Wkly RSI rsing to bullish zone to only 56.51 tons of room to go up. $105 then 110 next","2016-04-19T14:08:01Z","GILD"
"53192443","$GILD its been a really long wait to get back to 100.","2016-04-19T14:03:07Z","GILD"
"53192192","$GILD nice","2016-04-19T14:01:23Z","GILD"
"53192188","$GILD lol... up today, as usual, nonsense... lagging behind when it has to go up, it goes up, when nobody esle is going, without any reason","2016-04-19T14:01:20Z","GILD"
"53191771","Some weekly aggression in $gild. Some Dude gobbling up $99 weekly calls","2016-04-19T13:58:49Z","GILD"
"53191529","$GILD over 100 for the moment ring the bell","2016-04-19T13:57:09Z","GILD"
"53190680","Planning to sell some covered calls $GILD","2016-04-19T13:51:17Z","GILD"
"53190650","$GILD finally broke 100 lets get to 110!!","2016-04-19T13:51:04Z","GILD"
"53190349","$GILD  YES! above 100 and going higher","2016-04-19T13:49:08Z","GILD"
"53189736","$GILD yup get paid~ 99cs good","2016-04-19T13:45:09Z","GILD"
"53185497","Favor Healthcare stocks like the traditionally strong $UNH, $JNJ, $BCR, $BDX, $SYK, while better risk rewards in $MDT, $GILD, $ALXN,  $XRAY","2016-04-19T13:05:22Z","GILD"
"53183107","$GILD looking to close that downside gap &amp; the beg of Jan finally!! Will tag its DMA 200 @ 100.75 today!! Spt @ 97.","2016-04-19T12:33:22Z","GILD"
"53182825","$GILD My model has Q1 earnings at 9.10B in REV &amp; 3.81 in EPS, beating analysts ests by 12.9% on REV &amp; 21.73% on EPS. http://stkw.it/x7Ri","2016-04-19T12:28:46Z","GILD"
"53181294","Frontline Matters in Notice- $GILD $KITE $LMCA http://stkw.it/j9AU","2016-04-19T12:03:06Z","GILD"
"53177572","Cheap call option upside: $GILD calls cheaper than 100% of history, $CVS 100%, $DAL 100%, $ORCL 100%, $DOW 100%, $DHR 100%, $DIS 100%","2016-04-19T10:15:54Z","GILD"
"53177472","$GILD buy jan 2017 Amd 2018 calls and sell 115 puts naked make real $ holding lots of leaps","2016-04-19T10:11:54Z","GILD"
"53177422","$GILD key dates. April 28 earn. May 11 annual meet. June 28 and nov 11 pufda dates . 2016-17 we will see my dream come true new ATH buy jan","2016-04-19T10:09:39Z","GILD"
"53176500","$GILD futures up Europe up Asia up oil up perhaps gild goes thru 100 today ! Yippie","2016-04-19T08:58:04Z","GILD"
"53175560",".. $GILD same old story, nothing really changed. all this should keep the bulls away from IBB for a while","2016-04-19T07:22:05Z","GILD"
