"id","body","created_at",""
"52782366","$MDVN The most wanted biotech? http://stkw.it/w64G $AMGN $GILD $SNY $AZN $IBB","2016-04-13T00:50:46Z","GILD"
"52781061","$CPXX cashing out $BAX and moving into a larger stake on this puppy ! @HushfundCapital had fun in st barts buddy ;) killed $GILD","2016-04-13T00:12:56Z","GILD"
"52778055","Gilead Sciences&#39;s outperform rating reiterated at Robert W. Baird. $135.00 PT. http://stkw.it/d6xA $GILD","2016-04-12T22:59:14Z","GILD"
"52777661","$TXN, $AAPL, $GILD nice plays today hope to see a continuation tomorrow","2016-04-12T22:49:20Z","GILD"
"52773070","Cancer Drug Stocks Are The Picture Of Health $AMGN $AZN $GILD $SNY http://stkw.it/y5yd","2016-04-12T21:22:57Z","GILD"
"52772108","$GILD $REGN Would be an even better target than $CELG!!","2016-04-12T21:09:39Z","GILD"
"52771751","$GILD Nice to have Patrick back ... vonlin","2016-04-12T21:05:18Z","GILD"
"52770143","@gameplan About same time $Gild broke through resistance","2016-04-12T20:45:46Z","GILD"
"52769990","Gilead Sciences, Inc. (GILD) After Hours Trading - http://stkw.it/i7Iz $gild look at these block trades after hours  http://stkw.it/j7JX","2016-04-12T20:43:48Z","GILD"
"52769799","$GILD invest to win big we are on our way","2016-04-12T20:41:24Z","GILD"
"52769589","$GILD 270000 shares after hours and we are holding 97.24 incredibly great follow thru we are going higher hope you are leveraged in calls !","2016-04-12T20:39:09Z","GILD"
"52767626","$GILD Remember when this was around $82 and all the morons were saying this is going to $60&#39;s. Clueless bashers starved for attention!","2016-04-12T20:17:52Z","GILD"
"52766581","$SBUX Looks like a pull back but I think better than my holding of $GILD","2016-04-12T20:07:09Z","GILD"
"52766526","$GILD if holds above 97.3, likely to see 108 (C&amp;H measured move)","2016-04-12T20:06:40Z","GILD"
"52766381","$GILD did you follow my advice yesterday and make 30% on options in one day?","2016-04-12T20:05:27Z","GILD"
"52766295","$GILD appears likely to hold this breakout. C&amp;H on daily + weekly bullish divergence","2016-04-12T20:04:42Z","GILD"
"52766189","$GILD repeat again","2016-04-12T20:03:52Z","GILD"
