"id","body","created_at",""
"53532044","$RIG $GS downgrade is simple manipulation . Previous downgrade of $GILD at 88 lol.","2016-04-24T16:28:54Z","GILD"
"53531317","These Health Care stocks are trending on Estimize this week: 1. $GILD, 2. $JNJ, 3. $ISRG, 4. $CELG, 5. $AMGN 
 http://stkw.it/fApp","2016-04-24T15:31:21Z","GILD"
"53531279","$GILD this stock our gild should be trading a min of 10x earn of 13 plus looking for 130 PT  our 2017-18 in the money leaps are booming","2016-04-24T15:28:49Z","GILD"
"53531263","$GILD gild is at least two years ahead of everyone else and China is opening up to their 10-40 million in need ! Wow","2016-04-24T15:27:15Z","GILD"
"53531248","$GILD cheap pe cheap cash flow dividend increase coming buyback continues mountain of cash first pan genotype pill for 1-6 will own market !","2016-04-24T15:26:16Z","GILD"
"53531221","$GILD earnings beat again more enthusiastic presentation from milligram his first as CEO pipeline pufda dates June and November acqui revue","2016-04-24T15:24:30Z","GILD"
"53531187","$GILD 3.34 is my personal earnings estimate versus streets 3.12 .   I would love CaptainSolo to be right at 4.02  but I can&#39;t get there. ??","2016-04-24T15:22:28Z","GILD"
"53531157","$GILD countdown to earnings coming we see abbv earnings on Wednesday before gild look for decline in their v pal as positive for harvoni !","2016-04-24T15:20:34Z","GILD"
"53529286","$GILD reports 4/28 AMC, distribution of Estimize estimates for Q1 8,171 Revs 
 http://stkw.it/dAEP","2016-04-24T13:03:03Z","GILD"
"53528275","$FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA","2016-04-24T10:09:15Z","GILD"
"53527002","$GILD reports 4/28 AMC, distribution of Estimize estimates for Q1 3.21 EPS 
 http://stkw.it/gAqD","2016-04-24T04:36:26Z","GILD"
"53525748","These Health Care stocks are trending on Estimize this week: 1. $GILD, 2. $JNJ, 3. $ISRG, 4. $CELG, 5. $AMGN 
 http://stkw.it/eAFC","2016-04-24T02:31:21Z","GILD"
"53525612","$GILD reports 4/28 AMC, Estimize Consensus is 3.21 EPS 
 http://stkw.it/hAqc","2016-04-24T02:21:23Z","GILD"
"53525570","$GEVO All time high $380+ per share in 2011?  Pull up a All time chart @ Stocktwits. So GEVO traded like a $AAPL $GOOG $GILD $BIIB before?","2016-04-24T02:18:07Z","GILD"
"53524735","$GILD reports 4/28 AMC, Estimize Consensus is 8,170 Revs 
 http://stkw.it/bA8s","2016-04-24T01:16:23Z","GILD"
"53524331","$CELG $IBB $GILD","2016-04-24T00:45:25Z","GILD"
"53523303","$GILD reports 4/28 AMC, distribution of Estimize estimates for Q1 3.21 EPS 
 http://stkw.it/w8sw","2016-04-23T23:31:21Z","GILD"
"53520201","$GILD love this company.  It&#39;s like the cat came back, you thought he was a goner, the cat came back the very next day","2016-04-23T19:48:40Z","GILD"
"53519444","$FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA","2016-04-23T19:01:36Z","GILD"
"53519353","$GILD reports 4/28 AMC, distribution of Estimize estimates for Q1 8,170 Revs 
 http://stkw.it/z9pU","2016-04-23T18:56:22Z","GILD"
"53518430","$GILD Very orderly uptrend, just beware of earnings after close on 28th.  http://stkw.it/x8nN","2016-04-23T18:05:47Z","GILD"
"53517448","$GILD reports 4/28 AMC, Estimize Consensus is 3.21 EPS 
 http://stkw.it/fAl7","2016-04-23T17:11:24Z","GILD"
"53517342","$FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA","2016-04-23T17:03:40Z","GILD"
"53517127","$GILD reports 4/28 AMC, Estimize Consensus is 8,170 Revs 
 http://stkw.it/v8nw","2016-04-23T16:51:25Z","GILD"
"53516642","$FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA #bookmark big enchilada week for earnings","2016-04-23T16:21:12Z","GILD"
"53516410","Big earnings week ahead. $FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA","2016-04-23T16:09:06Z","GILD"
"53516277","$BMRN $ICPT $MDVN $GILD $KITE $JUNO Kite and Juno are far away from acqui. for now","2016-04-23T16:02:41Z","GILD"
"53515912","$FB $AAPL $AMZN $TWTR $CMG $F $GILD $LNKD $FCX $CELG $SWKS $JBLU $T $NXPI $BA","2016-04-23T15:43:12Z","GILD"
