"id","body","created_at",""
"53764257","$GILD holding above its EMA8 and with the beat expected tomorrow, she&#39;ll lick the heavens!! But still overextended really.","2016-04-27T22:58:40Z","GILD"
"53764234","http://stkw.it/uA5R  Earning Watchlist for tomorrow mega cap: $AMZN, $GILD, $MO, $BMY, $MA, $ABBV, $UPS, $CELG, $BIDU","2016-04-27T22:58:18Z","GILD"
"53764079","@Afortyyearold still adding more $aapl at these levels a no brainer. Time to hunker down more and also on $googl $gild $tsla $hd $msft","2016-04-27T22:55:25Z","GILD"
"53763643","Busy again tomorrow #earnings $GILD, $MO, $AMZN, $EXPE, $F, $LNKD, $MA, $PENN, $SIRI, $TMO, $TWC, $VC, $WDC","2016-04-27T22:47:51Z","GILD"
"53762938","$GILD 100.72 bid by 101.10 offered  2x1 traded very good size above close at 4 pm . Only negative is that zacks is expecting a earn beat ???","2016-04-27T22:34:29Z","GILD"
"53762693","$GILD my game plan for tomorrow is to buy weakness of 1% or more down but don&#39;t expect that . Earnings will surprise upside longer term plus","2016-04-27T22:29:17Z","GILD"
"53762249","$GILD Bearish crossover looming. Into #Earnings #ETIC","2016-04-27T22:21:00Z","GILD"
"53761545","$GILD holding june 105 calls","2016-04-27T22:08:17Z","GILD"
"53760857","Earnings I&#39;m watching tomorrow: $AMZN (expecting a miss) and $AMGN &amp; $GILD","2016-04-27T21:56:54Z","GILD"
"53759504","$GILD what do people think of VRX hearings effects on this macro?","2016-04-27T21:41:33Z","GILD"
"53755869","#Earnings Tomorrow-P5
$FET $FII $FLEX $FLS $FPO $GABC $GB $GERN $GFF $GIFI $GILD $GIMO $GNBC $GNW $GRPN 
http://stkw.it/hCBQ","2016-04-27T21:00:17Z","GILD"
"53754751","$GILD your up after FB!","2016-04-27T20:48:52Z","GILD"
"53752644","$GILD Why Gilead is a buy before earnings - http://stkw.it/jC7g","2016-04-27T20:29:56Z","GILD"
