"id","body","created_at",""
"52395305","$GILD your biggest consideration http://stkw.it/b56z","2016-04-06T14:05:40Z","GILD"
"52395132","$GILD 200 dma ceiling at 102.40ish","2016-04-06T14:04:31Z","GILD"
"52394940","$GILD breaking LT downtrend line","2016-04-06T14:03:20Z","GILD"
"52394843","$GILD jeayu21 said short gild at 96.15 and I said that he is wrong and markshultz cursed me  the war will be settled by gild price not words","2016-04-06T14:02:41Z","GILD"
"52394078","$GILD added short 96.70","2016-04-06T13:57:19Z","GILD"
"52393791","$GILD looks good. pt 100 as long as markets cooperate.","2016-04-06T13:55:12Z","GILD"
"52393716","$GILD trying to break away from 96.","2016-04-06T13:54:49Z","GILD"
"52392236","$GILD shorting gild wl make you cry!","2016-04-06T13:43:17Z","GILD"
"52391626","$GILD SHORT 96.15","2016-04-06T13:38:22Z","GILD"
"52390741","$CELG $BIIB $AMGN $GILD - add $ILMN to this group, please.","2016-04-06T13:30:37Z","GILD"
"52390514","$AGN $GILD $AMGN Not a bad time to consider getting long and scale into big pharma for the long term.","2016-04-06T13:28:07Z","GILD"
"52390214","$GILD all the hedge funds that have to get out of AGN will allocate to LABU and bib members stocks  gild being primary beneficiary ! Buy it","2016-04-06T13:24:27Z","GILD"
"52389891","$GILD Needs a new Lambo!","2016-04-06T13:20:44Z","GILD"
"52388694","In Play Longs: $AAPL $AYI $CELG $GILD $NFLX $SRPT $STZ $TEVA $TRXC $SWHC $ENDP","2016-04-06T13:04:35Z","GILD"
"52387399","$MON $CREE $SRPT $GILD chart http://stkw.it/b55E","2016-04-06T12:44:46Z","GILD"
"52386901","$GILD $BHI Stocks News Buzz http://stkw.it/u4Qf","2016-04-06T12:35:25Z","GILD"
"52383749","Gilead Sciences Chairman John Martin Sells $9,324,000.00 in $GILD http://stkw.it/j5T1","2016-04-06T11:27:54Z","GILD"
"52382731","$CELG $BIIB $AMGN $GILD I agree 100% with Cramer&#39;s friend.good technical analysis.as long as Cramer does not do technical analysis <f0><U+009F><U+0098><U+0089>","2016-04-06T10:55:00Z","GILD"
"52379151","$IBB $GILD $PRAH $AMAG $HZNP 4 great stocks to ride IBB rebound http://stkw.it/c58C","2016-04-06T05:19:37Z","GILD"
"52376343","$GILD has had a great earnings performance in the last few years http://stkw.it/y4KP","2016-04-06T02:56:40Z","GILD"
"52375273","Cheap put options and hedges: $BBRY puts cheaper than 92% of history, $SLV 91%, $DAL 89%, $GILD 82%, $AAPL 82%, $GE 81%, $MAS 81%","2016-04-06T02:19:46Z","GILD"
"52375098","&quot;@macroQmicro: $GILD relative strength vs industry, sector &amp; market moving up to next level overhead on positive accumulaiton&quot;","2016-04-06T02:13:55Z","GILD"
"52374664","$CELG, $BIIB, $AMGN, $GILD Hope for biotech in the blast zone http://stkw.it/y4K6 @StockPlaza","2016-04-06T02:00:16Z","GILD"
"52373660","$GILD all of these &#39;new&#39; HIV drugs are great. Basically extending patents. Dominant.","2016-04-06T01:30:50Z","GILD"
"52372288","$GILD been accumulating","2016-04-06T00:46:23Z","GILD"
"52370171","EVP of Gilead Sciences just disposed of 5,000 shares  http://stkw.it/y4J0 $GILD","2016-04-05T23:49:51Z","GILD"
"52369752","$GILD FDA approval news http://stkw.it/x4FT","2016-04-05T23:39:18Z","GILD"
"52369501","$GILD hmm no sell orders...","2016-04-05T23:32:48Z","GILD"
"52369451","Gilead Sciences&#39;s President and CEO just cashed-in 112,000 options  http://stkw.it/a54O $GILD","2016-04-05T23:31:31Z","GILD"
"52369018","$GILD diabetes costs at least 80 dollars a month for pills so 200 a month is cheap x15 millx12 months = a lot of $  do the math have fun !","2016-04-05T23:20:05Z","GILD"
"52381382","$EIX Hold/accumulate for short term. Technical analysis source: http://stkw.it/j5RN","2016-04-06T09:19:56Z","EIX"
"52313502","New trend started on $EIX when price was 71.11 http://stkw.it/h56k #TradingSystem #Stock","2016-04-05T13:44:51Z","EIX"
"52304061","$EIX Weak buy candidate for short term. Technical analysis source: http://stkw.it/z51J","2016-04-05T11:19:19Z","EIX"
"52124469","Edison International (EIX) Reaches New Lifetime High Today $EIX http://stkw.it/h47J","2016-04-01T14:09:54Z","EIX"
"52116731","Top Downgrades 4/1: $AAL $ALRM $ASB $CMG $CNQ $DAL $EIX $FAST $FITB $GWW $HA $HCN $IR $ISRG (1/2)","2016-04-01T13:04:13Z","EIX"
"52111908","#downgrades $EIX $ALRM $HCN $RF $ASB $VIAB $DAL $HA $UAL $AAL $TGNA $SSW $VNTV $CMG $FAST $GWW $FITB","2016-04-01T11:50:28Z","EIX"
"52110484","Edison International downgraded by Goldman Sachs to neutral. http://stkw.it/g41g $EIX","2016-04-01T11:13:46Z","EIX"
"52108948","Analysts Offer Insights on Utilities Companies: Edison International (NYSE: EIX) and Entergy Corp. (NYSE: ETR) $EIX http://stkw.it/j44H","2016-04-01T10:11:54Z","EIX"
"52038009","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$AVB $BCR $DTE $EIX $IPHI $MMC $POOL $SAP $TSN $WST","2016-03-31T13:35:10Z","EIX"
"52001603","$EIX announced it will create a new energy subsidiary named Edison Energy. How will this change affect $EIX stock? Share an idea","2016-03-30T20:00:52Z","EIX"
"51961047","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$BCR $DTE $EIX $VAL
Share An Idea On Any Of These Picks","2016-03-30T13:30:21Z","EIX"
"51948917","Worth Watching Utility Stock: $EIX http://stkw.it/z3Tv","2016-03-30T05:13:52Z","EIX"
"51930596","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000289
http://stkw.it/x2QE","2016-03-29T20:59:27Z","EIX"
"51930091","Edison: (2) Form, Schedule Or Registration Statement No  http://stkw.it/y2SL $EIX","2016-03-29T20:52:11Z","EIX"
"51790699","$EIX - New 52 Week High - Doji - Bearish","2016-03-27T15:35:41Z","EIX"
"51743672","$EIX: New SEC Filing for EIX:
Form 4
http://stkw.it/x1Mz","2016-03-24T21:46:09Z","EIX"
"51742927","Edison International director just cashed-in 10,000 options  http://stkw.it/h1oz $EIX","2016-03-24T21:31:17Z","EIX"
"51619925","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$EIX $FICO $MMC $PGR 
Share An Idea On Any Of These Picks","2016-03-23T13:25:17Z","EIX"
"51594831","Scan results - Bearish Engulfing today: $AI $TAHO $VRA $EIX $DXB $SCG $KLIC $BBBY $DKT $CRTO ... http://stkw.it/i16F","2016-03-22T22:04:29Z","EIX"
"51556908","Today Edison International (EIX) Hits New Lifetime High $EIX http://stkw.it/a0t0","2016-03-22T15:02:56Z","EIX"
"51540985","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000285
http://stkw.it/f0qP","2016-03-22T10:06:54Z","EIX"
"51532157","$EIX End of Day Scan: 52 Week High","2016-03-22T00:41:49Z","EIX"
"51436027","$EIX: New SEC Filing for EIX:
Form DEF 14A, No. 0001206774-16-005009
http://stkw.it/a09e","2016-03-18T20:27:47Z","EIX"
"51435227","Edison International releases salary data. CEO sees compensation fall -21% http://stkw.it/u00u $EIX","2016-03-18T20:18:03Z","EIX"
"51354957","$EIX Doing Okay...","2016-03-17T18:17:55Z","EIX"
"51289770","$EIX Beautiful...","2016-03-16T19:49:03Z","EIX"
"51167381","Watch List Build &amp; Market Analysis 03/14/16  http://stks.co/e3Uuo $SPY $AAPL $EIX $ENLK $GNW $HCLP #stocks #trading #options","2016-03-15T01:45:50Z","EIX"
"51166546","Join me LIVE on @TickerTV for my nightly watch list build, Market Q&amp;A &amp; trade recap http://stks.co/f48RA $SPY $AAPL $EIX $HCLP $GNW $ELNK","2016-03-15T01:19:23Z","EIX"
"51162675","Edison International&#39;s PT raised by SunTrust to $78.00. buy rating. http://stks.co/d3Uas $EIX","2016-03-14T23:22:48Z","EIX"
"51152335","The Following Stop Losses Have Been Raised At GorillaTrades, In Order To Preserve Subscriber Gains:
$TSN $NDAQ $MMC $EIX $DG $DTE","2016-03-14T20:00:12Z","EIX"
"52392097","Adding to long $GS 154.63","2016-04-06T13:42:11Z","GS"
"52391841","Pfizer-Allergan Deal Canceled; Investment Banks Lose Out on $350 Million Pay Day – $pfe $agn $gs http://stkw.it/i5R5","2016-04-06T13:40:03Z","GS"
"52386843","T3 Live Morning Call: Fed Minutes
http://stkw.it/c5DC
$SPX $IWM $IBB $JPM $GS $FB $AMZN $GOOGL $NFLX $AAPL $TSLA $AGN $DWTL $USO $XLE","2016-04-06T12:34:12Z","GS"
"52385859","Barclays Expands into #Uncharted Territory of #Bitcoin - $BCS $JPM $GS
http://stkw.it/z5N5","2016-04-06T12:17:51Z","GS"
"52384178","$GS this is what im watching for","2016-04-06T11:40:35Z","GS"
"52381023","A &#39;robo-advisor&#39; startup founded by a team of ex-Goldman Sachs employees is coming to the UK to take on Nutmeg $GS http://stkw.it/z5KZ","2016-04-06T08:39:38Z","GS"
"52378848","$XLF Financial stocks like $GS $BAC $C showing significant weakness at resistance, tested 6 times.  That&#39;s not good.","2016-04-06T04:54:42Z","GS"
"52377783","$SPY Still believe it reasonable to be cautious on what is being continually called bullish at these levels. Seeing some red flags. Ex  $GS","2016-04-06T03:51:30Z","GS"
"52363829","$PANW 4/5 analysts had positive outlooks. Even $GS had a positive outlook but lowered PT by a mere $3. This is a buy","2016-04-05T21:21:51Z","GS"
"52363808","FM show: in case U missed . Topic #1: oil low ahead #2 NFLX in trouble now #3 $GS is.dead! my language) NUTS! #4 will b THE END OF THE WORLD","2016-04-05T21:21:29Z","GS"
"52363744","$SLV $GS indicates time to short PM, makes me want to go long.","2016-04-05T21:20:38Z","GS"
"52362632","T3 Live Daily Recap: Market Looking Like No Man&#39;s Land
http://stkw.it/b4ub
$TSLA $NFLX $FB $AAPL $AMZN $GS $TLT $GLD $IBB $TWTR $SPY","2016-04-05T21:04:07Z","GS"
"52357708","$JCP $GS","2016-04-05T20:08:02Z","GS"
"52355963","No cushion all out $GS 58c per share on remainder will revisit","2016-04-05T19:55:10Z","GS"
"52353567","Goldman Sachs : Analysts Further Lower Profit Forecast http://stkw.it/v4Bi $GS","2016-04-05T19:36:32Z","GS"
"52344180","$GS also saying &quot;short gold&quot; as best commodity trade on CNBC citing rising interest rate environment","2016-04-05T18:12:36Z","GS"
"52343689","$SUNE Good.  I HATE $CS or $GS being on my side.  Always.","2016-04-05T18:08:36Z","GS"
"52340003","$GLD $GS and $JPM fingers cramping from hitting the sell button shorting Gold..they are scared of losing control boyz, the paper end is near","2016-04-05T17:34:26Z","GS"
"52338621","$GS $MS $BAC $JPM with US Panama Papers leaking soon,  wouldn&#39;t be surprised to see these guys heavily involved.","2016-04-05T17:21:17Z","GS"
"52338497","$GS $MS $BAC $JPM Gonna take a bit of a flier and go short on some banks with large wealth management divisions.","2016-04-05T17:20:11Z","GS"
"52335078","Goldman Sachs Maintains a Buy Rating on Virtu Financial $VIRT $GS http://stkw.it/a4v2","2016-04-05T16:47:11Z","GS"
"52327563","$UVXY $SPY $GS I doubt Obama will mention this: http://stkw.it/c4uH","2016-04-05T15:41:57Z","GS"
"52323740","Goldman Sachs (GS) Stock Down as Analysts Slash Earnings Estimates $GS http://stkw.it/v46G","2016-04-05T15:06:33Z","GS"
"52321721","NEW POST: The Potter and Handle Pattern http://stkw.it/b4ll $BAC $GS $TWTR $WFC $XLF","2016-04-05T14:47:25Z","GS"
"52319997","Took the first rung of the ladder $GS +1.13 per share profit. Holding the rest see what it does.","2016-04-05T14:32:01Z","GS"
"52315215","$GS golf clap","2016-04-05T13:56:24Z","GS"
"52314760","Put on a long $GS tight stop near day low","2016-04-05T13:53:01Z","GS"
"52314180","Goldman’s Profit Expectations Slashed Again; Largest Cut Since Financial Crisis – Trading with The Fly $GS http://stkw.it/d4na","2016-04-05T13:49:15Z","GS"
"52311928","$GS 160 Puts BUYING Activity expiring on 15th Apr, Vol 350","2016-04-05T13:32:58Z","GS"
