"id","body","created_at",""
"53044247","$GILD Saudi threatening the congress now it&#39;s widely known with public release  so hedge","2016-04-16T13:45:02Z","GILD"
"53044225","$GILD please hedge with spxs s&amp;p risk and also interest rate rise risk due to the bin laden family friends in Saudi Arabia  our enemy","2016-04-16T13:44:07Z","GILD"
"53038929","$gild and $aapl however ignore the WS idiots and do what is smarter than a stupid M&amp;A deal, they buy back their own super cheap stock","2016-04-16T04:03:38Z","GILD"
"53038911","@Afortyyearold @jordanberg78 So the Media says $aapl needs to &quot;innovate&quot; and $gild Needs to do some massive M&amp;A deal.. Total BS as usual","2016-04-16T04:02:56Z","GILD"
"53038890","@Afortyyearold @jordanberg78 It is the same blah blah nonsense the media now saying about $gild and that they need to do a &quot;Massive&quot; M&amp;A LOL","2016-04-16T04:02:05Z","GILD"
"53037960","$GILD This is paramount for a company to cure HPC. It is astounding that people think there is another company that might try.Cure with GILD","2016-04-16T03:19:27Z","GILD"
"53036427","Cheap put options and hedges: $DAL puts cheaper than 99% of history, $SNDK 99%, $BBRY 97%, $T 96%, $GILD 94%, $LOW 93%, $LEN 91%","2016-04-16T02:19:46Z","GILD"
"53035717","$GILD meant rgls not eggs","2016-04-16T01:54:31Z","GILD"
"53032529","@Shane2015 u have lost all credibility with this statement. No way Amgen buying $SGYP and $GILD isn&#39;t either!","2016-04-16T00:08:06Z","GILD"
"53031917","$GILD harvoni is gold standard till there pan gentotpye is approved then gild blasts off and no one can touch them","2016-04-15T23:52:30Z","GILD"
"53031878","$GILD gild presentations today were great we have so much to look forward to pufda date June 30 . Approvals coming harvoni standard until","2016-04-15T23:51:38Z","GILD"
"53031822","$GILD eggs is a fraud stay away from that company I shorted it in upper teens","2016-04-15T23:50:18Z","GILD"
"53029958","$GILD  http://stkw.it/v6sv","2016-04-15T23:08:23Z","GILD"
"53029346","$RGLS next $GILD in house!","2016-04-15T22:55:48Z","GILD"
"53026699","$GILD First close above the 200ema since the beginning of December","2016-04-15T22:10:42Z","GILD"
"53021357","@mikeksl89  @AnalystRatingsNetwork $Gild is focused on Hep B, NASH and oncology now.  They have their own HepC pipeline on lock","2016-04-15T20:43:05Z","GILD"
"53013845","$XBI green $GILD green $ILMN green","2016-04-15T19:27:20Z","GILD"
"53013830","$GILD ready to move up to 100 next week","2016-04-15T19:27:13Z","GILD"
"53012717","$GILD where are all the Bears and short sellers before the weekend please drive it lower I want to buy size","2016-04-15T19:16:28Z","GILD"
"53012628","$GILD am still hoping for a decline to 97.65 last 45 minutes so I can buy shares bought huge calks today and so many of my short 90 puts exp","2016-04-15T19:15:41Z","GILD"
"53010677","@shortfloat @AnalystRatingsNetwor You don&#39;t think $GILD would buy them out or at least form a strategic partnership with them?","2016-04-15T18:57:39Z","GILD"
"53009592","$GILD  has several cancer drugs in mid-stage &amp; late-stage clinical studies &amp;plenty $ to invest in opportunities &amp; drive earnings even higher","2016-04-15T18:46:45Z","GILD"
"53006313","@OttoMaxInvestments $LCI, $AMID, $AAPL $GILD and now $SWHC too??? Stop following me!","2016-04-15T18:15:04Z","GILD"
"53005021","$biib p/e below its 2009 lows. Opening starter position here at $266ish. Along with $celg $amgn $gild getting dogged by biotechs.  Great biz","2016-04-15T18:03:02Z","GILD"
"53004361","$GILD trying to buy more gild","2016-04-15T17:57:17Z","GILD"
"53000450","@Tubgun $gild broke out of a triangle but I don&#39;t know whatl to look for  next.  Any pointers?","2016-04-15T17:20:41Z","GILD"
"52999722","$GILD 62000 plus option call contracts expire in the money today !  And over 22000 90 puts expire worthless today ! Hooray for all my follow","2016-04-15T17:13:51Z","GILD"
"52998055","$GILD buy the Friday weakness don&#39;t buy on up days buy on weak days and weakness should not go below 97.45 but gifts are gifts","2016-04-15T16:59:10Z","GILD"
"52997867","$GILD check my technicals and agree or disagree a reasonable valuation is coming and pipeline and earnings buyback acquisitions higher !!","2016-04-15T16:57:18Z","GILD"
"52997671","$GILD technically we just formed another cup from April 5 to yesterday and handle being formed upwards projects to 111 in 3 months or less","2016-04-15T16:55:11Z","GILD"
"53033058","$SUNE people forget that this company is part of edison international $EIX this is all bluffing... I see this company rocking in the NE n WC","2016-04-16T00:23:56Z","EIX"
"52814482","$EIX #downtrend continuation detected around 10:00 AM, Apr 13 EDT; use 70.40, 70.96 as stop","2016-04-13T15:03:23Z","EIX"
"52692011","$EIX #downtrend continuation detected around 3:00 PM, Apr 11 EDT; use 70.72, 71.25 as stop","2016-04-11T20:03:24Z","EIX"
"52629105","Published $EIX estimate on Estimize: ... http://stkw.it/f6Yj","2016-04-10T13:44:22Z","EIX"
"52412072","Here are 5 top-ranked stocks to buy ahead of earnings season! $EIX $CPN $CX $WLB $EPZM http://stkw.it/u4Wf","2016-04-06T16:17:38Z","EIX"
"52381382","$EIX Hold/accumulate for short term. Technical analysis source: http://stkw.it/j5RN","2016-04-06T09:19:56Z","EIX"
"52313502","New trend started on $EIX when price was 71.11 http://stkw.it/h56k #TradingSystem #Stock","2016-04-05T13:44:51Z","EIX"
"52304061","$EIX Weak buy candidate for short term. Technical analysis source: http://stkw.it/z51J","2016-04-05T11:19:19Z","EIX"
"52124469","Edison International (EIX) Reaches New Lifetime High Today $EIX http://stkw.it/h47J","2016-04-01T14:09:54Z","EIX"
"52116731","Top Downgrades 4/1: $AAL $ALRM $ASB $CMG $CNQ $DAL $EIX $FAST $FITB $GWW $HA $HCN $IR $ISRG (1/2)","2016-04-01T13:04:13Z","EIX"
"52111908","#downgrades $EIX $ALRM $HCN $RF $ASB $VIAB $DAL $HA $UAL $AAL $TGNA $SSW $VNTV $CMG $FAST $GWW $FITB","2016-04-01T11:50:28Z","EIX"
"52110484","Edison International downgraded by Goldman Sachs to neutral. http://stkw.it/g41g $EIX","2016-04-01T11:13:46Z","EIX"
"52108948","Analysts Offer Insights on Utilities Companies: Edison International (NYSE: EIX) and Entergy Corp. (NYSE: ETR) $EIX http://stkw.it/j44H","2016-04-01T10:11:54Z","EIX"
"52038009","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$AVB $BCR $DTE $EIX $IPHI $MMC $POOL $SAP $TSN $WST","2016-03-31T13:35:10Z","EIX"
"52001603","$EIX announced it will create a new energy subsidiary named Edison Energy. How will this change affect $EIX stock? Share an idea","2016-03-30T20:00:52Z","EIX"
"51961047","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$BCR $DTE $EIX $VAL
Share An Idea On Any Of These Picks","2016-03-30T13:30:21Z","EIX"
"51948917","Worth Watching Utility Stock: $EIX http://stkw.it/z3Tv","2016-03-30T05:13:52Z","EIX"
"51930596","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000289
http://stkw.it/x2QE","2016-03-29T20:59:27Z","EIX"
"51930091","Edison: (2) Form, Schedule Or Registration Statement No  http://stkw.it/y2SL $EIX","2016-03-29T20:52:11Z","EIX"
"51790699","$EIX - New 52 Week High - Doji - Bearish","2016-03-27T15:35:41Z","EIX"
"51743672","$EIX: New SEC Filing for EIX:
Form 4
http://stkw.it/x1Mz","2016-03-24T21:46:09Z","EIX"
"51742927","Edison International director just cashed-in 10,000 options  http://stkw.it/h1oz $EIX","2016-03-24T21:31:17Z","EIX"
"51619925","The Following GorillaPicks Achieved New 52-Week Or All Time Highs Yesterday:
$EIX $FICO $MMC $PGR 
Share An Idea On Any Of These Picks","2016-03-23T13:25:17Z","EIX"
"51594831","Scan results - Bearish Engulfing today: $AI $TAHO $VRA $EIX $DXB $SCG $KLIC $BBBY $DKT $CRTO ... http://stkw.it/i16F","2016-03-22T22:04:29Z","EIX"
"51556908","Today Edison International (EIX) Hits New Lifetime High $EIX http://stkw.it/a0t0","2016-03-22T15:02:56Z","EIX"
"51540985","$EIX: New SEC Filing for EIX:
Form DEFA14A, No. 0000827052-16-000285
http://stkw.it/f0qP","2016-03-22T10:06:54Z","EIX"
"51532157","$EIX End of Day Scan: 52 Week High","2016-03-22T00:41:49Z","EIX"
"51436027","$EIX: New SEC Filing for EIX:
Form DEF 14A, No. 0001206774-16-005009
http://stkw.it/a09e","2016-03-18T20:27:47Z","EIX"
"51435227","Edison International releases salary data. CEO sees compensation fall -21% http://stkw.it/u00u $EIX","2016-03-18T20:18:03Z","EIX"
"51354957","$EIX Doing Okay...","2016-03-17T18:17:55Z","EIX"
"53043982","$PEP $IBM $NFLX $JNJ $GS $INTC $YHOO $KO $ITW $YUM $GOOGL $MSFT $UA $SLB $V $AAL $CAT $GE $HON $KMB $MCD","2016-04-16T13:32:40Z","GS"
"53043790","$NFLX $IBM $UA $GOOGL $SBUX $MSFT $HAS $PEP $JNJ $MS $INTC $GS $LUV","2016-04-16T13:24:46Z","GS"
"53042994","Earnings season kicks into gear. $NFLX $IBM $UA $GOOGL $SBUX $MSFT $HAS $PEP $JNJ $MS $INTC $GS $LUV #Earnings","2016-04-16T12:38:43Z","GS"
"53042359","#earnings season begins $NFLX $IBM $UA $GOOGL $SBUX $MSFT $HAS $PEP $JNJ $MS $INTC $GS $LUV  http://stkw.it/v6wO","2016-04-16T11:47:26Z","GS"
"53042026","Analysts expect serious 43% EPS growth in 3 years at $GS: http://stkw.it/y6wI","2016-04-16T11:17:18Z","GS"
"53042017","Peter Schiff to Goldman--you&#39;re wrong on gold! $GS $GDL $IAU $GDX http://stkw.it/u72S","2016-04-16T11:16:38Z","GS"
"53041129","Next week $PEP $IBM $NFLX $JNJ $GS $INTC $YHOO $KO $ITW $YUM $GOOGL $MSFT $UA $SLB $V $AAL $CAT $GE $HON $KMB $MCD","2016-04-16T08:05:40Z","GS"
"53039518","$PSEC here is what a real non performing stock is doing $GS","2016-04-16T04:36:15Z","GS"
"53036657","$MA $DIS $KO $MO $PFE $GS $XOM $X $GE $F $C $V $AXP $LO $LMT $BA $GSK $AA $BAC $JPM $MMM all are good ones to accumulate and hold long term.","2016-04-16T02:27:41Z","GS"
"53031862","$GS NO Goldman is one of the most crooked Companies ever. With new rules they will not be able to manipulate the market as much no chance.","2016-04-15T23:51:07Z","GS"
"53031123","$GS Kremlin says sorry to Goldman Sachs, German paper over Panama Papers slip-up http://stkw.it/a81O via @Reuters wow","2016-04-15T23:34:08Z","GS"
"53030096","Defaulted SunEdison&#39;s Fire Sale http://stkw.it/e806 $SUNE, $AGN, $ANTM, $BNCL, $CHTR, $CI, $CPGX, $DEPO, $ETE $GS $PFE $PLCM $TWC, $VRX","2016-04-15T23:11:18Z","GS"
"53021941","$VRX $GS is long and working to save this company. They will and can do it.","2016-04-15T20:51:44Z","GS"
"53020473","Will Goldman Sachs (GS) Stock Be Helped by Deep Cost Cuts? $GS http://stkw.it/e7xg","2016-04-15T20:30:11Z","GS"
"53014082","$INTC thousands of job cut? $GS already started expense cut even b4 ER? we are hearing job cut everywhere. Is the economy really strong?","2016-04-15T19:29:27Z","GS"
"53012958","$GS - Russia&#39;s President apology for Panama Papers error http://stkw.it/d7t3","2016-04-15T19:18:40Z","GS"
"53010973","2 Favorite Banks http://stkw.it/e7vb ( $GS, $OSHC )","2016-04-15T19:00:21Z","GS"
"53007945","$JPM, $GS receive US Judge approval of $1.87b CDS settlement","2016-04-15T18:29:39Z","GS"
"53006065","$AAPL Cook just instructed $GS to repurchase 100 sticks into the close","2016-04-15T18:12:39Z","GS"
"53004819","ALERT: New RSI signal created on $GS - Direction: Sell at 158.59 - Time: 18:01 - Strength: 9.","2016-04-15T18:01:11Z","GS"
"53002747","Goldman Sachs Maintains a Hold Rating on Ensco Plc $ESV $GS http://stkw.it/x6k2","2016-04-15T17:42:14Z","GS"
"53002576","Bottom falls out $GS -  Wow.  $XLF $SPY  Earnings &#39;&quot;glow&quot; of -25% drop fading.","2016-04-15T17:40:39Z","GS"
"53001565","$AAPL how aout those $GS channel checks and surveys?? Guess you learned you can use them for toilet paper.","2016-04-15T17:31:53Z","GS"
"52997960","Goldman Sachs Group Inc $GS Questions Rally, Fears Looming Event Risk Amid Record VIX Longs http://stkw.it/a7tR","2016-04-15T16:58:15Z","GS"
"52996427","Goldman Sachs Group Plans More Cost Cuts http://stkw.it/i8Iz $GS","2016-04-15T16:42:28Z","GS"
"52993184","Day Trading Stocks (closed) - $GS $AGN $TSLA $AVGO $XEC(chart) – 8 Trades: 7 win, 1 loss – Overall $10,120","2016-04-15T16:13:28Z","GS"
"52992767","$GS Outsourcing God&#39;s work to Salt Lake City and Bangalore? .... [GASP]","2016-04-15T16:09:35Z","GS"
"52992462","Another Day, Another Big Fine for Big Financials $GS - http://stkw.it/c7vV","2016-04-15T16:07:09Z","GS"
"52991406","$SPY $NDX $GS $C","2016-04-15T15:57:42Z","GS"
"52989516","$162.27 is an important number for $GS if it will run today.. Impossible? no.. unlikely? maybe.. but do not rule it out.","2016-04-15T15:42:50Z","GS"
"53044565","Amazon Studios Reveals “Aggressive” Marketing Strategy at CinemaCon http://stkw.it/z7x2  $AMZN","2016-04-16T13:59:39Z","AMZN"
"53043597","$CELG $SGYP $PETX $AMZN $ANTH $CANF $ZIOP","2016-04-16T13:15:11Z","AMZN"
"53043533","$AAPL $TSLA $F $AMZN $FB $KO","2016-04-16T13:11:53Z","AMZN"
"53043532","$FB $VZ $YHOO $AMZN $HYG","2016-04-16T13:11:49Z","AMZN"
"53043222","@Galvanic @daniel66 Long to me is anything more than 5 days swinging!  I am only truly LONG $FDX $DDD $AMZN @ moment","2016-04-16T12:53:38Z","AMZN"
"53043164","$AMZN looking for test of $638 high, sold 1/4 in at $590 great swing so far","2016-04-16T12:49:32Z","AMZN"
"53042661","First Trust Internet ETF $FDN Testing Broken Post-2012 Up Trendline $AMZN $FB $GOOGL","2016-04-16T12:14:37Z","AMZN"
"53042462","$AMZN head and shoulders top?","2016-04-16T11:56:02Z","AMZN"
"53042428","Saturday links: psychosomatic illnesses, mindfulness apps and becoming a minimalist. http://stkw.it/h8Yr $AAPL $TSLA $F $AMZN $FB $KO","2016-04-16T11:53:01Z","AMZN"
"53041606","Cramer Likes Amazon&#39;s Valuation Amid Company Spending Cycle $AMZN http://stkw.it/x6sn","2016-04-16T10:03:28Z","AMZN"
"53041578","Netflix, Amazon likely winners as Obama backs FCC initiative $NFLX $AMZN $CHTR http://stkw.it/e83k via @TheStreet","2016-04-16T10:00:02Z","AMZN"
"53041442","12 companies with a truly remarkable track record on sales growth:  http://stkw.it/g8Xj $ROST $AMZN $DG $ORLY $EQIX $TSCO $BIIB $UNH","2016-04-16T09:20:55Z","AMZN"
"53041125","$FIT Fitbit Blaze and $UA health box both debut at CES. Fitbit Alta released after UA Health box already has 1k reviews on $AMZN","2016-04-16T08:04:39Z","AMZN"
"53041116","$FIT $UA health box has 29 reviews on their website, 2 reviews on $AMZN.  Fitbit Blaze already has 1.5k reviews on AMZN alone.","2016-04-16T08:02:44Z","AMZN"
"53040077","$AMZN Might buy an airport in Germany http://stkw.it/z7vE Wow!","2016-04-16T05:22:16Z","AMZN"
"53039983","$AMZN Opens Temporary Homeless Shelter http://stkw.it/u71A","2016-04-16T05:13:14Z","AMZN"
"53039904","@Ronluvtrading @a55 pfft what? I hold $AMZN  stock so that would be dope but not in the realm of possibility","2016-04-16T05:05:04Z","AMZN"
"53039807","$AMZN As in $1250? Seriously? I was thinking maybe a $80 move.","2016-04-16T04:56:11Z","AMZN"
"53037149","$AMZN 1250 by er","2016-04-16T02:47:06Z","AMZN"
"53037016","$AMZN is at $625.89, a 63.23% gain since 12 months ago http://stkw.it/y6uh #AMZN","2016-04-16T02:41:29Z","AMZN"
"53036558","$AMZN When is the ER?  What will price be when ER hits?","2016-04-16T02:24:17Z","AMZN"
"53034058","$AMZN Chart Storm (Cloud)

JPMorgan CIO Survey Results (#2)

http://stkw.it/w6xP","2016-04-16T00:55:18Z","AMZN"
"53034054","(3/4)

$AMZN Chart Storm (Cloud)

JPMorgan CIO Survey Results

http://stkw.it/i8RG","2016-04-16T00:55:08Z","AMZN"
"53034045","(2/4)

$AMZN Chart Storm (Cloud)

AWS (Cloud) Growth

http://stkw.it/d7yc","2016-04-16T00:54:51Z","AMZN"
"53034033","(1/4)

$AMZN Chart Storm (Cloud)

Public Cloud Growth

http://stkw.it/d7yb","2016-04-16T00:54:39Z","AMZN"
"53033327","Amazon is Crushing the Cloud War, But Here Comes Apple
 http://stkw.it/v6th

$AMZN $AAPL $MSFT","2016-04-16T00:31:10Z","AMZN"
"53032523","$AMZN 4/22 WKLYS ..","2016-04-16T00:07:53Z","AMZN"
