"id","body","created_at",""
"53031917","$GILD harvoni is gold standard till there pan gentotpye is approved then gild blasts off and no one can touch them","2016-04-15T23:52:30Z","GILD"
"53031878","$GILD gild presentations today were great we have so much to look forward to pufda date June 30 . Approvals coming harvoni standard until","2016-04-15T23:51:38Z","GILD"
"53031822","$GILD eggs is a fraud stay away from that company I shorted it in upper teens","2016-04-15T23:50:18Z","GILD"
"53029958","$GILD  http://stkw.it/v6sv","2016-04-15T23:08:23Z","GILD"
"53029346","$RGLS next $GILD in house!","2016-04-15T22:55:48Z","GILD"
"53026699","$GILD First close above the 200ema since the beginning of December","2016-04-15T22:10:42Z","GILD"
"53021357","@mikeksl89  @AnalystRatingsNetwork $Gild is focused on Hep B, NASH and oncology now.  They have their own HepC pipeline on lock","2016-04-15T20:43:05Z","GILD"
"53013845","$XBI green $GILD green $ILMN green","2016-04-15T19:27:20Z","GILD"
"53013830","$GILD ready to move up to 100 next week","2016-04-15T19:27:13Z","GILD"
"53012717","$GILD where are all the Bears and short sellers before the weekend please drive it lower I want to buy size","2016-04-15T19:16:28Z","GILD"
"53012628","$GILD am still hoping for a decline to 97.65 last 45 minutes so I can buy shares bought huge calks today and so many of my short 90 puts exp","2016-04-15T19:15:41Z","GILD"
"53010677","@shortfloat @AnalystRatingsNetwor You don&#39;t think $GILD would buy them out or at least form a strategic partnership with them?","2016-04-15T18:57:39Z","GILD"
"53009592","$GILD  has several cancer drugs in mid-stage &amp; late-stage clinical studies &amp;plenty $ to invest in opportunities &amp; drive earnings even higher","2016-04-15T18:46:45Z","GILD"
"53006313","@OttoMaxInvestments $LCI, $AMID, $AAPL $GILD and now $SWHC too??? Stop following me!","2016-04-15T18:15:04Z","GILD"
"53005021","$biib p/e below its 2009 lows. Opening starter position here at $266ish. Along with $celg $amgn $gild getting dogged by biotechs.  Great biz","2016-04-15T18:03:02Z","GILD"
"53004361","$GILD trying to buy more gild","2016-04-15T17:57:17Z","GILD"
"53000450","@Tubgun $gild broke out of a triangle but I don&#39;t know whatl to look for  next.  Any pointers?","2016-04-15T17:20:41Z","GILD"
"52999722","$GILD 62000 plus option call contracts expire in the money today !  And over 22000 90 puts expire worthless today ! Hooray for all my follow","2016-04-15T17:13:51Z","GILD"
"52998055","$GILD buy the Friday weakness don&#39;t buy on up days buy on weak days and weakness should not go below 97.45 but gifts are gifts","2016-04-15T16:59:10Z","GILD"
"52997867","$GILD check my technicals and agree or disagree a reasonable valuation is coming and pipeline and earnings buyback acquisitions higher !!","2016-04-15T16:57:18Z","GILD"
