"id","body","created_at",""
"53360086","$GILD First 200 day MA test since last year.","2016-04-21T13:42:09Z","GILD"
"53360025","$GILD you see pot today again moving higher ! Agri products moving higher farmers will plant more and need fertilizer pot will move to 20 s","2016-04-21T13:41:46Z","GILD"
"53359763","$GILD as I was saying market down gild continues higher very powerful move we are in ! Are you in it where it will be meaningful?","2016-04-21T13:40:11Z","GILD"
"53358289","$GILD gild has a beta of 1.08 yet it&#39;s up beta is much higher and in down markets it&#39;s still going higher this is a sign of underlying stren","2016-04-21T13:29:11Z","GILD"
"53358143","$GILD last ten minutes of trades at 100.45 that&#39;s seems to be where appetite is on open we will see","2016-04-21T13:27:46Z","GILD"
"53357962","$GILD buy 99 call for this Friday sell 1 95 put naked sell 1 100 put for this Friday great short term swing you are out Friday at 355","2016-04-21T13:25:59Z","GILD"
"53353624","$GILD unprecedented rise to largest biotech in the world with ridiculous success in new drug discoveries &amp; the single largest new drug ever","2016-04-21T12:39:05Z","GILD"
"53352448","$GILD generates over $4 million in revenue per employee and no other biotech in this peer group is even at $1.5 million.","2016-04-21T12:23:40Z","GILD"
"53351498","Is Gilead Headed Even Higher? $GILD http://stkw.it/hA24","2016-04-21T12:08:22Z","GILD"
"53347591","Cheap call option upside: $DIS calls cheaper than 100% of history, $BABA 100%, $DAL 100%, $DHR 100%, $GILD 100%, $EMC 100%, $VZ 99%","2016-04-21T10:15:12Z","GILD"
"53341493","$GILD 408 pm after hours trade of 103000 shares on up tick  size higher all lower we are going higher","2016-04-21T03:09:42Z","GILD"
"53341138","$GILD","2016-04-21T02:58:10Z","GILD"
"53340028","Cheap put options and hedges: $DAL puts cheaper than 100% of history, $GILD 98%, $DHR 94%, $XHB 92%, $T 91%, $DOW 89%, $SDS 88%","2016-04-21T02:20:27Z","GILD"
"53333863","$GILD hmmm..tickling it&#39;s 200 day. Stock is dripping  with value.","2016-04-20T23:44:38Z","GILD"
"53327623","$RGLS next $GILD in the house!","2016-04-20T21:44:30Z","GILD"
"53325403","$GILD still seeing 100.11 close on etrade","2016-04-20T21:14:03Z","GILD"
"53324671","$GILD Hello anybody behind the wheel?  What is going on AH&#39;s?","2016-04-20T21:03:33Z","GILD"
"53323914","$GILD what happened in after hrs to cause the drop","2016-04-20T20:53:53Z","GILD"
