"id","body","created_at",""
"53893223","$GILD Not as bad as I was thinking. Waiting till Tuesday to add. Dust needs to settle.","2016-04-29T13:57:46Z","GILD"
"53893203","$GILD &gt; 100% play 90p DT weekly scalps from lows ...more to come or reverse now?","2016-04-29T13:57:39Z","GILD"
"53892908","$GILD Is Going Nowhere - http://stkw.it/bCAC","2016-04-29T13:55:55Z","GILD"
"53892441","$GILD buy buy buy!","2016-04-29T13:52:57Z","GILD"
"53892330","Gilead Sciences Earnings Miss: What Went Wrong? http://stkw.it/dCGZ $GILD","2016-04-29T13:52:20Z","GILD"
"53892271","$GILD thru 91 flusshhh...","2016-04-29T13:51:59Z","GILD"
"53892069","$GILD I missed it but quick 92c scalps form open &gt; 100% premiums coming down maybe enter shortly? Watching...","2016-04-29T13:50:48Z","GILD"
"53891986","$gild or $AAPL?! Hmmmm","2016-04-29T13:50:22Z","GILD"
"53891882","$GILD so annoying. Such an overreaction. Numbers are as bad as it looks on surface if you read full report. I guess we&#39;ll wait for a m&amp;a.","2016-04-29T13:49:53Z","GILD"
"53891789","Wait for the $GILD shortsters to ride into town, pound the bejesus out of it, then long yourself the easiest trade you&#39;ve ever made.","2016-04-29T13:49:17Z","GILD"
"53891301","$GILD first time at biggest loser status! Come on 80&#39;s","2016-04-29T13:46:25Z","GILD"
"53890420","$GILD Not this time ;)","2016-04-29T13:40:57Z","GILD"
"53890266","$GILD 89 p&#39;s @ .20 yolo (LOTTO)","2016-04-29T13:39:59Z","GILD"
"53890252","$GILD added 92.20","2016-04-29T13:39:53Z","GILD"
"53890216","$GILD stc 97.5 p&#39;s @ 6.34 +$5.50 500%","2016-04-29T13:39:40Z","GILD"
"53890180","$GILD With that huge increases in div, long term old dudes are gona buy this ish up","2016-04-29T13:39:21Z","GILD"
"53890179","$GILD damn. I got greedy and was waiting for a 8 handle.","2016-04-29T13:39:22Z","GILD"
"53890153","$GILD sold off harder on a massive beat. could end green","2016-04-29T13:39:16Z","GILD"
"53890093","$GILD Slowly climbing back to normal levels","2016-04-29T13:38:55Z","GILD"
"53889687","Here&#39;s my watchlist for the day: $ALR, $AMZN, $EXPE, $GILD, $GIMO, $GLNG, $HCLP, $LNKD, $MSCC, $NPTN, $NWL, ...","2016-04-29T13:35:52Z","GILD"
"53889585","$GILD :(","2016-04-29T13:35:14Z","GILD"
"53889524","$STX $EXPE $AMZN $GILD lots of stocks breaching expected range this earnings season. IV not high enough to reflect this risk.","2016-04-29T13:34:50Z","GILD"
"53889325","$GILD potential 90.1 AH low break inbound.","2016-04-29T13:33:14Z","GILD"
"53889257","$GILD SHORT 90.70","2016-04-29T13:32:41Z","GILD"
"53888988","$GILD eps a let down b/c of pricing pressures, but demand for drugs still strong &amp; CO cheap, chance to buy more when price sell off settles","2016-04-29T13:30:28Z","GILD"
"53888764","Early Movers $OUTR $ROVI $ABT $WDC $BIDCU $P $EXPE $STJ $LNKD $GILD $AMGN $CAT $CBS $TIVO $VRX $AMZN $RGC $DGX  http://stkw.it/xAd6","2016-04-29T13:28:41Z","GILD"
"53888532","$GILD is a swing traders&#39; paradise. Now entering the strange long phase &amp; if you throw down, then wait, the rewards are &quot;yuge.&quot;","2016-04-29T13:26:48Z","GILD"
"53888514","$STX $GILD $RXDX $DWTI $DUST $JDST $HCLP $UPL $SKLN $AKS $ALR $PPHM #UPL $SYNA $XXII $IMGN $SRCL $MOH $GLNG #EPAY","2016-04-29T13:26:40Z","GILD"
