Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,75.849998,76.099998,70.730003,71.099998,2222300,71.099998
2016-04-11,76.07,76.529999,74.709999,75.849998,1273700,75.849998
2016-04-04,77.00,77.160004,74.949997,76.040001,1699000,76.040001
2016-03-28,75.559998,77.230003,75.209999,76.989998,1725400,76.989998
2016-03-21,74.860001,75.919998,74.120003,75.559998,1488800,75.559998
2016-03-14,73.139999,76.129997,72.559998,75.25,2377800,75.25
2016-03-07,71.309998,73.75,70.980003,73.269997,1562900,73.269997
2016-02-29,70.190002,71.470001,68.440002,71.389999,2242800,71.389999
2016-02-22,71.00,72.489998,70.169998,70.349998,1798200,70.349998
2016-02-16,70.910004,71.980003,69.339996,70.870003,2930400,70.870003
2016-02-08,72.139999,73.900002,69.75,70.720001,2640500,70.720001
2016-02-01,69.410004,72.309998,69.080002,72.040001,2106200,71.371017
2016-01-25,68.169998,70.199997,67.480003,69.389999,2212300,68.745628
2016-01-19,68.00,69.260002,66.199997,67.970001,3625000,67.338814
2016-01-11,66.589996,67.989998,65.110001,67.68,3671300,67.051506
2016-01-04,63.849998,66.800003,63.470001,66.43,2744400,65.813118
2015-12-28,64.43,65.660004,63.799999,64.269997,1066800,63.673172
2015-12-21,63.529999,64.919998,62.830002,64.75,1172000,64.14872
2015-12-14,61.220001,64.720001,61.07,63.290001,2296600,62.702274
2015-12-07,62.150002,63.939999,60.32,60.810001,2343100,60.245308
2015-11-30,62.27,62.66,60.299999,62.150002,1854200,61.572865
2015-11-23,63.369999,63.669998,61.860001,62.209999,1108600,61.632301
2015-11-16,61.259998,63.82,61.23,63.310001,1921300,62.722092
2015-11-09,61.560001,63.419998,61.189999,61.91,1927200,60.691128
2015-11-02,65.779999,66.309998,61.529999,61.950001,3204500,60.730339
2015-10-26,67.169998,67.449997,64.830002,65.75,2107100,64.455528
2015-10-19,66.610001,67.940002,65.900002,67.040001,1503200,65.720131
2015-10-12,65.449997,67.449997,65.330002,67.019997,1598900,65.700516
2015-10-05,66.830002,67.199997,64.870003,65.43,2280600,64.141823
2015-09-28,66.25,66.989998,65.260002,66.639999,2194200,65.328003
2015-09-21,65.199997,66.82,64.559998,66.260002,2153400,64.95549
2015-09-14,62.41,66.00,61.959999,65.050003,2139300,63.76931
2015-09-08,61.419998,62.75,61.200001,62.389999,1718300,61.161674
2015-08-31,63.400002,63.509998,60.490002,60.860001,1816100,59.6618
2015-08-24,64.419998,65.480003,62.150002,63.599998,2817800,62.347851
2015-08-17,66.900002,67.309998,65.940002,66.059998,1748900,64.759422
2015-08-10,65.260002,67.370003,64.900002,67.32,2416100,65.357414
2015-08-03,63.709999,65.349998,62.639999,65.150002,2237300,63.250675
2015-07-27,61.00,64.160004,60.900002,63.59,2266300,61.736153
2015-07-20,61.200001,62.310001,60.48,60.900002,2513300,59.124577
2015-07-13,60.990002,61.810001,60.080002,61.299999,1795100,59.512913
2015-07-06,59.110001,61.610001,58.939999,60.810001,2753200,59.037201
2015-06-29,58.310001,59.290001,57.619999,59.139999,2181300,57.415886
2015-06-22,58.959999,59.150002,57.169998,58.099998,1955500,56.406204
2015-06-15,57.880001,59.57,56.860001,58.990002,2402600,57.27026
2015-06-08,58.889999,59.279999,57.369999,57.540001,3691100,55.86253
2015-06-01,61.869999,62.18,58.52,58.610001,2325400,56.901337
2015-05-26,61.150002,62.169998,60.540001,61.84,1982000,60.03717
2015-05-18,60.66,61.720001,60.52,61.139999,1589200,59.357578
2015-05-11,61.029999,61.82,60.029999,61.470001,2494700,59.046909
2015-05-04,61.639999,62.540001,60.349998,61.080002,2558600,58.672283
2015-04-27,62.639999,62.639999,60.919998,61.66,2194700,59.229416
2015-04-20,61.150002,63.029999,61.02,62.50,1677800,60.036304
2015-04-13,60.91,61.48,60.150002,60.939999,1403700,58.537796
2015-04-06,61.040001,61.959999,59.91,60.860001,1472100,58.460953
2015-03-30,59.849998,61.549999,59.77,60.950001,2383500,58.547405
2015-03-23,61.470001,62.049999,58.650002,59.799999,3223100,57.442738
2015-03-16,61.27,62.669998,60.650002,61.470001,3301500,59.046909
2015-03-09,60.00,61.66,59.509998,60.84,2232700,58.441742
2015-03-02,63.060001,63.07,59.669998,59.98,2079700,57.615643
2015-02-23,64.059998,66.00,62.790001,63.139999,2279700,60.651077
2015-02-17,63.720001,65.599998,62.369999,63.75,3412200,61.23703
2015-02-09,66.769997,67.169998,63.349998,63.919998,2937300,61.40033
