Date,Open,High,Low,Close,Volume,Adj Close
2016-04-18,51.349998,52.220001,49.470001,50.549999,18224800,50.549999
2016-04-11,52.360001,52.400002,50.84,51.349998,13801800,51.349998
2016-04-04,54.029999,54.490002,51.77,52.18,14529900,52.18
2016-03-28,53.560001,54.369999,53.099998,54.009998,12012300,53.445835
2016-03-21,53.189999,53.619999,52.66,53.560001,11585800,53.000538
2016-03-14,52.549999,53.849998,52.23,53.240002,14900400,52.68388
2016-03-07,51.529999,52.959999,51.400002,52.529999,15003100,51.981297
2016-02-29,50.860001,52.220001,50.689999,51.810001,14428500,51.268818
2016-02-22,50.860001,51.34,50.169998,51.02,12133100,50.487068
2016-02-16,50.240002,51.099998,49.580002,50.860001,16718600,50.328739
2016-02-08,50.599998,50.799999,49.27,50.110001,23967400,49.586575
2016-02-01,49.939999,51.200001,49.419998,50.970001,23167600,50.437592
2016-01-25,47.080002,49.990002,46.540001,49.970001,25976600,49.448036
2016-01-19,44.740002,47.119999,43.790001,47.040001,25771000,46.548641
2016-01-11,45.110001,45.27,43.860001,44.43,19013800,43.965904
2016-01-04,45.669998,46.549999,44.700001,44.830002,17681900,44.361729
2015-12-28,46.619999,47.23,46.209999,46.220001,8595900,45.181477
2015-12-21,45.73,47.150002,45.52,46.709999,9626800,45.660465
2015-12-14,44.84,46.689999,44.68,45.560001,19850700,44.536304
2015-12-07,45.459999,46.130001,44.73,44.82,13464100,43.812931
2015-11-30,45.25,45.889999,44.330002,45.709999,14675300,44.682934
2015-11-23,45.310001,45.50,44.68,45.23,8134900,44.213718
2015-11-16,44.259998,45.990002,44.18,45.389999,11181200,44.370125
2015-11-09,45.529999,45.540001,44.220001,44.23,10462600,43.236187
2015-11-02,47.02,47.080002,45.290001,45.779999,11816600,44.751362
2015-10-26,46.32,46.98,46.00,46.880001,10889100,45.826645
2015-10-19,44.48,46.330002,44.259998,46.16,16608000,45.122822
2015-10-12,44.18,44.970001,43.93,44.700001,13628300,43.695629
2015-10-05,43.240002,44.529999,43.240002,44.16,12746300,43.167763
2015-09-28,44.009998,44.18,42.200001,42.84,19191700,41.340408
2015-09-21,44.619999,44.889999,43.759998,44.220001,13315200,42.672104
2015-09-14,45.779999,46.549999,44.419998,44.57,18439500,43.009853
2015-09-08,45.580002,46.27,45.029999,45.73,14030100,44.129246
2015-08-31,45.950001,46.150002,44.639999,44.82,16321100,43.251102
2015-08-24,44.349998,46.290001,38.060001,46.07,25815400,44.457344
2015-08-17,47.279999,47.700001,46.099998,46.099998,12806900,44.486294
2015-08-10,46.52,48.209999,46.52,47.490002,13583600,45.827641
2015-08-03,47.18,47.200001,46.169998,46.360001,10418900,44.737194
2015-07-27,45.939999,47.169998,45.66,46.790001,14004500,45.152142
2015-07-20,47.630001,48.259998,45.959999,46.040001,20692300,44.428398
2015-07-13,47.380001,47.950001,46.950001,47.59,10190700,45.924137
2015-07-06,47.060001,47.450001,46.23,47.00,15793700,45.35479
2015-06-29,47.279999,47.720001,46.57,47.200001,13123700,45.017605
2015-06-22,47.630001,48.490002,47.290001,47.619999,14856700,45.418182
2015-06-15,47.139999,47.919998,46.900002,47.459999,16268600,45.265579
2015-06-08,47.25,47.880001,47.049999,47.25,12509900,45.065292
2015-06-01,49.439999,49.540001,47.110001,47.23,20550600,45.046215
2015-05-26,49.580002,49.75,49.209999,49.439999,13797100,47.15403
2015-05-18,49.779999,50.099998,49.32,49.610001,14458300,47.31617
2015-05-11,50.139999,50.279999,48.970001,49.790001,14545500,47.48785
2015-05-04,50.419998,50.860001,49.32,50.139999,12970100,47.821663
2015-04-27,50.00,50.77,50.00,50.41,15213000,48.079182
2015-04-20,49.150002,50.259998,48.459999,50.029999,21796600,47.716751
2015-04-13,49.27,49.57,48.700001,48.900002,13015400,46.639
2015-04-06,49.540001,49.82,48.669998,49.220001,12236000,46.944206
2015-03-30,48.73,49.599998,48.43,49.470001,12715200,46.655949
2015-03-23,49.779999,49.900002,48.34,48.560001,13820500,45.79771
2015-03-16,48.959999,49.900002,48.48,49.560001,17934900,46.740829
2015-03-09,48.259998,48.93,47.360001,48.84,16559900,46.061783
2015-03-02,49.119999,49.689999,48.23,48.290001,12292900,45.543072
2015-02-23,48.939999,49.66,48.310001,49.450001,14222800,46.637085
2015-02-17,48.950001,49.32,48.419998,48.970001,13492100,46.184391
2015-02-09,49.049999,49.990002,48.98,49.310001,18124700,46.505051
2015-02-02,46.200001,49.759998,45.759998,49.330002,26120900,46.523911
2015-01-26,46.98,47.099998,45.369999,45.709999,18715700,43.109829
2015-01-20,48.139999,48.48,46.91,47.150002,26027300,44.467918
2015-01-12,47.00,48.029999,46.57,47.990002,14225000,45.260136
2015-01-05,47.080002,47.380001,46.049999,46.759998,18672600,44.100101
2014-12-29,47.619999,47.790001,46.700001,46.959999,11079700,43.770893
2014-12-22,47.09,47.950001,46.889999,47.860001,10608900,44.609772
2014-12-15,46.060001,47.349998,45.09,47.02,24356300,43.826817
2014-12-08,48.77,49.34,45.32,45.580002,27994900,42.484612
2014-12-01,50.68,50.84,48.279999,48.610001,16509400,45.308838
2014-11-24,49.549999,50.799999,48.860001,50.59,13269400,47.154377
2014-11-17,51.41,51.48,49.700001,50.209999,12297800,46.800179
2014-11-10,50.720001,51.73,50.150002,51.50,12084900,48.002575
2014-11-03,50.490002,50.98,49.669998,50.860001,12796400,47.40604
2014-10-27,48.779999,50.50,48.73,50.25,13563200,46.837463
2014-10-20,48.060001,49.110001,47.810001,48.77,15502900,45.457973
2014-10-13,49.049999,49.459999,46.889999,48.07,20636500,44.805511
2014-10-06,49.950001,50.259998,48.84,48.939999,15623100,45.616428
2014-09-29,49.619999,50.240002,49.200001,49.709999,13116100,45.821178
2014-09-22,50.110001,50.32,49.310001,49.77,11906700,45.876488
2014-09-15,48.490002,50.380001,48.299999,50.349998,17181000,46.41111
2014-09-08,49.869999,49.880001,48.259998,48.400002,13308700,44.613663
2014-09-02,49.82,50.029999,49.50,49.939999,9804700,46.033184
2014-08-25,48.68,49.82,48.68,49.82,10211200,45.922573
2014-08-18,49.049999,49.150002,48.27,48.639999,12179200,44.834885
2014-08-11,48.889999,49.049999,48.50,48.799999,12596000,44.982368
2014-08-04,50.040001,50.299999,48.200001,48.700001,13958600,44.890194
2014-07-28,51.259998,53.66,49.830002,49.830002,18968900,45.931793
