Date,Open,High,Low,Close,Volume,Adj Close
4/18/2016,151.720001,153.139999,142.610001,149.300003,7887200,149.300003
4/11/2016,150.259995,152.759995,148.580002,151.720001,3428700,151.720001
4/4/2016,152.339996,153.520004,147.809998,149.350006,3651300,149.350006
3/28/2016,147.75,153.100006,147.229996,152.520004,4064700,152.520004
3/21/2016,147.300003,149.279999,144.490005,147.949997,4319000,147.949997
3/14/2016,142.009995,147.509995,141.039993,147.089996,5940100,147.089996
3/7/2016,137.279999,142.919998,136.869995,142.360001,4683500,142.360001
2/29/2016,132,139.419998,130.899994,137.800003,4456700,137.800003
