id,body,created_at,symbol
52270126,"$AAPL @UPB no reply from UPB, he went short around $100 saying this is headed to $70, would be nice to get an update. Let us know please.",2016-04-04T18:59:42Z,APPL
52269971,$AAPL i have this native american invention called a dream catcher (stop loss) which is fabled to prevent nightmares,2016-04-04T18:58:12Z,APPL
52269933,ICYMI: $AAPL $AMZN $BIDU $BABA $GPRO $TWTR $FB,2016-04-04T18:57:40Z,APPL
52269666,$AAPL could make a move higher for power hour..,2016-04-04T18:54:51Z,APPL
52269507,Also quiet for bearish options trades. $PSX $FLO $XLU and $AAPL is the extent of that list.,2016-04-04T18:53:18Z,APPL
52269463,$AAPL looks like it&#39;s done for the day,2016-04-04T18:52:56Z,APPL
52274207,$AAPL $SPY $FB $TSLA $TWTR $GILD $EVERYTHING http://stkw.it/u3uL,2016-04-04T19:43:15Z,APPL
52274127,$AAPL shorted Friday at 109.10. Mental stop loss at 112.90. Objective at least $100 but possibly $95.,2016-04-04T19:42:22Z,APPL
52274108,"$AAPL it&#39;ll probably gap up $7 tomorrow on Deutsche bank upgrades, cus why not? What&#39;s a back test? Let&#39;s just keep going up its fine.",2016-04-04T19:42:13Z,APPL
52274092,$AAPL  reaches the 200-day MA. Time to rest?,2016-04-04T19:42:05Z,APPL
52273795,"$AAPL bot that dip , feeling good , going to $130 tomorrow probably, Bulls are chasing the hell out of this",2016-04-04T19:39:02Z,APPL
52273673,$SUNE This is the most bullish thing Ive seen since $AAPL,2016-04-04T19:37:45Z,APPL
52273651,"$NFLX $AAPL $GILD $TSLA $FB $AVXL $AMZN Wonder how many ppl marketwatch lost because of their crappy new interface, it sucks!",2016-04-04T19:37:31Z,APPL
52273538,$AAPL Great trade in our trading room !! and Nice team work to nail this with @Deltaninety,2016-04-04T19:36:25Z,APPL
52273264,"$AAPL Bullish chart, but could be setting up for a pullback here.",2016-04-04T19:33:33Z,APPL
52273160,"$AAPL Glad AAPL is green, but market is really kind of sucking today. I really don&#39;t know why. (?)",2016-04-04T19:32:37Z,APPL
52273121,"Sold $AAPL last week and it is now higher, but moved money into $AAN which is up even more. Still holding.",2016-04-04T19:32:12Z,APPL
52272885,"$AAPL Green on the Red Sea, tomorrow will be brighter. PT 120!!!",2016-04-04T19:29:53Z,APPL
52272848,@River_Cooter this wont work Read my tweet it will help you Now I gotta go consider this tweet as your luck $AAPL bye !,2016-04-04T19:29:25Z,APPL
52272733,$AAPL an upside down coffee cup. The coffee is being spilled.,2016-04-04T19:28:14Z,APPL
52272670,$AAPL wkly call spread 113-115.....,2016-04-04T19:27:40Z,APPL
52272649,$AAPL see I to;d you... I sold 112$ and i will reload between 110 and 111 Now dont tell me I didnt call it... Watch my tweet today,2016-04-04T19:27:18Z,APPL
52272511,$AAPL thoughts on consolidation at this level?,2016-04-04T19:25:47Z,APPL
52272313,"$AAPL tons of pump jobs are suddenly coming out, i would be suspicious",2016-04-04T19:23:38Z,APPL
52272297,$AAPL Triple bottom today 111.11,2016-04-04T19:23:28Z,APPL
