Symbol,Sector,Perf_5Year,SD_5Year,Beta_5Year,Beta_10Year
HSY,Consumer Staples,15.57369,0.15237,0.329703364,0.296741271
LG,Utilities,14.90924,0.11902,0.331705057,0.146647794
OKS,Energy,0.25859,0.19744,0.334296402,0.414307403
JOB,Industrials,12.96365,2.8253,0.334439292,0.880805017
ICUI,Health Care,25.49486,0.21759,0.335856546,0.412862351
CCBG,Financials,6.10476,0.25952,0.336292183,0.78148225
HTS,Financials,-4.08011,0.17736,0.339474531,
CCI,Financials,18.06128,0.15155,0.339755495,1.080441036
EXPE,Consumer Discretionary,29.86351,0.32045,0.34061852,1.662693896
SLH,Information Technology,3.17744,0.26404,0.342076943,
ROIC,Financials,18.06349,0.15213,0.342689158,
ARTNA,Utilities,10.69439,0.14822,0.34459572,0.385556933
PNW,Utilities,13.77941,0.15301,0.344650253,0.514428684
EVBS,Financials,14.52709,0.3528,0.344777269,0.44732081
CHD,Consumer Staples,23.83191,0.13721,0.345258901,0.389075961
HTH,Financials,17.64217,0.30857,0.346451041,0.229275208
GIS,Consumer Staples,14.21796,0.12662,0.347282074,0.238837785
CUNB,Financials,17.10655,0.17839,0.348147701,0.531560281
T,Telecommunication Services,9.57957,0.13567,0.348934604,0.570708787
SVA,Health Care,1.91321,0.35243,0.349797727,1.778289279
DLTR,Consumer Discretionary,21.50074,0.21512,0.351886322,0.429635774
SKT,Financials,9.85395,0.14255,0.352618602,0.622888448
LNCE,Consumer Staples,16.12097,0.2108,0.354125427,0.56650915
MXL,Information Technology,10.61985,0.43907,0.357361173,
PRA,Financials,15.74388,0.13013,0.359077028,0.408337285
EFC,Financials,8.80441,0.14917,0.359209063,
BEP,Utilities,9.29461,0.14667,0.359809269,0.716616027
PNM,Utilities,22.243,0.1855,0.360478738,0.817438002
CYS,Financials,3.34735,0.21303,0.360786674,
AKO/A,Consumer Staples,-4.64938,0.25886,0.363860693,0.517789907
CNP,Utilities,6.08408,0.15932,0.364627625,0.60086807
GG,Materials,-22.40216,0.36683,0.366786309,0.447952501
MCY,Financials,9.24182,0.18818,0.367416155,0.69379513
DG,Consumer Discretionary,14.90794,0.22118,0.370463557,
QCRH,Financials,24.7736,0.20666,0.373710272,0.360259228
PRGO,Health Care,20.15883,0.21607,0.373720614,0.662879493
CORE,Consumer Discretionary,38.71653,0.24342,0.374003894,0.998633544
RLGT,Industrials,44.10473,0.57497,0.374993138,
OFIX,Health Care,8.25569,0.31241,0.376370083,0.871087019
CTWS,Utilities,11.03723,0.16505,0.376631754,0.450240426
BMY,Health Care,25.79207,0.1898,0.378504121,0.553562655
CVGW,Consumer Staples,22.43668,0.29474,0.380039445,0.688383587
MCD,Consumer Discretionary,11.38172,0.12651,0.383940611,0.48729152
SONA,Financials,16.90395,0.1403,0.384397548,
CSH,Financials,11.80132,0.26877,0.384815787,1.050250166
ATO,Utilities,19.87996,0.15993,0.38580694,0.489841079
JAKK,Consumer Discretionary,-14.82964,0.46056,0.385808591,0.712792743
FCN,Industrials,1.23207,0.31451,0.387372429,0.488931876
CLX,Consumer Staples,18.74097,0.1318,0.389465916,0.411270432
VRTX,Health Care,31.15998,0.46473,0.391060857,0.521079152
FGP,Utilities,3.50949,0.29328,0.392469576,0.488048656
EGHT,Telecommunication Services,33.36343,0.44287,0.393285495,1.28409144
EIX,Utilities,13.12634,0.1744,0.393812408,0.614540149
BCE,Telecommunication Services,27.81357,0.11767,0.396304899,0.767812779
MAA,Financials,12.42655,0.17023,0.39846065,0.883396227
ITI,Information Technology,8.92556,0.25525,0.399375156,1.140065284
WTM,Financials,19.69719,0.13326,0.400306673,0.820169545
ES,Utilities,13.56554,0.14765,0.405295659,0.47640272
WCN,Industrials,17.3547,0.15072,0.406101555,0.555657239
EDE,Utilities,5.06236,0.18305,0.406617629,0.575377244
CAG,Consumer Staples,17.5546,0.1689,0.407181663,0.627258311
FNV,Materials,9.2281,0.33368,0.409643188,
CHRW,Industrials,0.6634,0.18714,0.410078662,0.670970308
NEE,Utilities,18.30908,0.15521,0.411704437,0.550006816
ULTA,Consumer Discretionary,37.64364,0.28463,0.411793398,
AROW,Financials,9.47819,0.1727,0.411799741,0.466311341
PEP,Consumer Staples,9.77464,0.11816,0.413396668,0.498940433
O,Financials,13.23435,0.20197,0.417585162,0.743731092
CLW,Materials,3.78436,0.23475,0.420439983,
RGLD,Materials,-5.67244,0.4282,0.420555249,0.419838914
PCP,Industrials,10.86246,0.18425,0.420593804,1.172585648
UIL,Utilities,16.78065,0.16439,0.423145385,0.672552829
WTR,Utilities,13.86772,0.14111,0.424897691,0.289875385
MNST,Consumer Staples,41.91466,0.32704,0.427462014,0.611347629
ALSK,Telecommunication Services,-26.21374,0.48971,0.428816078,0.632834833
CTRN,Consumer Discretionary,-2.946,0.40477,0.431916355,0.963070779
CASY,Consumer Staples,25.92187,0.18326,0.431954741,0.521286363
ORIT,Financials,14.38456,0.14428,0.432032007,
EPM,Energy,1.50044,0.29647,0.432628171,1.151307871
SRE,Utilities,18.32674,0.13088,0.433294891,0.537908514
LNT,Utilities,14.78754,0.14664,0.433325814,0.514405872
FRT,Financials,16.67497,0.15208,0.433727238,0.972451701
HBNC,Financials,22.10127,0.24586,0.433999339,0.756777635
FCFP,Financials,2.98817,0.5172,0.436461026,
PNY,Utilities,18.65015,0.24349,0.437303703,0.311509483
PULB,Financials,20.68993,0.14077,0.440438119,0.719941436
MGEE,Utilities,12.50443,0.16121,0.440655421,0.338443198
MYGN,Health Care,15.05308,0.39942,0.440759503,0.379524034
POWL,Industrials,1.24885,0.34058,0.444145811,0.866401688
FDP,Consumer Staples,16.86496,0.17057,0.445766496,0.444421895
MBRG,Financials,7.3926,0.20047,0.446482329,0.634632122
HCP,Financials,7.04714,0.19216,0.446980959,1.02069709
WMT,Consumer Staples,4.71824,0.16555,0.447051651,0.353557231
TSN,Consumer Staples,26.82701,0.23138,0.44742805,0.908718184
SRCL,Industrials,10.6724,0.14635,0.447457829,0.294385774
ORLY,Consumer Discretionary,34.60604,0.20156,0.448067475,0.475438431
SCHL,Consumer Discretionary,10.93184,0.22372,0.451174813,1.057926378
ATAX,Financials,9.35419,0.1525,0.452755824,0.311155254
VVC,Utilities,14.71789,0.17878,0.453331112,0.442531896
ABT,Health Care,17.15135,0.16319,0.455381586,0.317368959
CLBH,Financials,38.06074,0.38827,0.457395945,0.420110502
COST,Consumer Staples,23.13924,0.14158,0.457838485,0.66589114
EDR,Financials,14.18163,0.16317,0.458319886,1.147419577
ELS,Financials,21.11397,0.17498,0.459073444,0.797757605
CVCY,Financials,16.6775,0.2406,0.459188101,0.280393295
EVOL,Information Technology,6.83982,0.31568,0.460779377,0.940992547
MNR,Financials,11.52662,0.15447,0.461284233,0.580707146
POR,Utilities,15.95793,0.14486,0.463523721,
BNCL,Financials,14.38546,0.17925,0.464523047,
KOOL,Health Care,-32.52302,0.78403,0.465303936,0.966289536
CHA,Telecommunication Services,1.39707,0.24614,0.466220975,0.890263624
HTLD,Industrials,7.0946,0.20153,0.466378782,0.61358514
LWAY,Consumer Staples,2.46325,0.37479,0.467758275,0.714429804
NCMI,Consumer Discretionary,2.51311,0.26057,0.46794793,
HEI/A,Industrials,19.62491,0.23317,0.46949754,0.996054889
BCOR,Information Technology,5.72449,0.36603,0.469503002,1.176366255
QSII,Health Care,-9.98749,0.35531,0.472358318,0.775279427
CFFN,Financials,12.15932,0.12673,0.476612237,0.375898314
NGG,Utilities,15.44493,0.14372,0.477912937,0.629666082
GXP,Utilities,11.58991,0.17108,0.478821756,0.694003268
CAJ,Information Technology,-5.20522,0.18227,0.480186954,0.921160562
HEP,Energy,11.78521,0.23552,0.482364476,0.561222136
CNL,Utilities,13.69365,0.15739,0.483155481,0.508775233
TE,Utilities,14.66227,0.21556,0.483744489,0.732994676
NWE,Utilities,17.88467,0.17019,0.485373679,0.652396685
REFR,Information Technology,-0.24116,0.44819,0.487364795,0.752015624
JBLU,Industrials,29.5923,0.34654,0.489614904,0.88097724
MLNX,Information Technology,12.34642,0.42777,0.489668156,
WGL,Utilities,14.61864,0.17984,0.491325978,0.325341105
RAI,Consumer Staples,30.55948,0.17456,0.491807238,0.600782964
CL,Consumer Staples,14.08668,0.11884,0.493150398,0.492577198
MGLN,Health Care,1.31771,0.17717,0.494190294,0.536523488
EMCI,Financials,15.69306,0.23469,0.496403724,0.620139985
